項次,停車場名稱,經度(WGS84),緯度(WGS84)
208,捷運芝山站轉乘停車場,121.52242,25.10463
209,捷運芝山站自行車停車區,121.52281,25.10149
210,捷運芝山站自行車停車區,121.52277,25.10256
211,捷運芝山站自行車停車區,121.52251,25.10385
212,捷運芝山站自行車停車區,121.52229,25.10319
213,捷運芝山站機車停車區,121.5229,25.10134
214,捷運芝山站機車停車區,121.52239,25.1045
215,捷運芝山站機車停車區,121.5221,25.10434
216,捷運士林站轉乘停車場,121.52591,25.0936
217,捷運士林站自行車停車區,121.52573,25.09416
218,捷運士林站自行車停車區,121.52621,25.09401
219,捷運士林站自行車停車區,121.52655,25.09298
220,捷運士林站機車停車區,121.52637,25.09231
221,捷運劍潭站自行車停車區,121.52532,25.08587
222,捷運劍潭站自行車停車區,121.52479,25.08306
223,捷運新店站自行車停車區,121.53778,24.95871
224,捷運蘆洲站自行車停車區,121.46502,25.09108
225,捷運永寧站自行車停車區,121.43562,24.96601
226,捷運永寧站自行車停車區,121.43529,24.9664
227,捷運永寧站自行車停車區,121.43738,24.96829
228,捷運永寧站自行車停車區,121.43663,24.96699
229,捷運永寧站轉乘停車場,121.43481,24.96537
230,捷運府中站轉乘停車場,121.45859,25.00945
231,捷運府中站轉乘停車場,121.4597,25.00903
232,捷運府中站自行車停車區,121.45945,25.00911
233,捷運府中站自行車停車區,121.45879,25.00905
234,捷運府中站自行車停車區,121.45894,25.00824
